# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.376988388481549919e-05 3.147662281990051270e-01 2.992712259292602539e+00 3.376791937625966966e-05 3.147662281990051270e-01 2.992712259292602539e+00
5.000000000000000000e+02 5.080503251519985497e-05 8.045075787777022924e-07 3.382561772014014423e-06 5.135288301971741021e-05 8.045075787777022924e-07 3.382561772014014423e-06
1.000000000000000000e+03 1.156483722297707573e-05 1.043098677655507345e-06 4.501318471739068627e-06 1.174323733721394092e-05 1.043098677655507345e-06 4.501318471739068627e-06
1.500000000000000000e+03 5.675987267750315368e-06 1.080133188224863261e-06 4.602817625709576532e-06 5.688323199137812480e-06 1.080133188224863261e-06 4.602817625709576532e-06
2.000000000000000000e+03 3.689362301884102635e-06 9.940877134795300663e-07 4.110691406822297722e-06 3.641878038251888938e-06 9.940877134795300663e-07 4.110691406822297722e-06
2.500000000000000000e+03 2.638671276145032607e-06 8.797188115750032011e-07 3.484689841570798308e-06 2.536114152462687343e-06 8.797188115750032011e-07 3.484689841570798308e-06
3.000000000000000000e+03 2.083271056108060293e-06 7.555602223874302581e-07 2.844627488229889423e-06 1.964765260709100403e-06 7.555602223874302581e-07 2.844627488229889423e-06
3.500000000000000000e+03 1.573429813106486108e-06 6.630750704061938450e-07 2.344335825910093263e-06 1.495086166869441513e-06 6.630750704061938450e-07 2.344335825910093263e-06
4.000000000000000000e+03 1.140242829933413304e-06 5.976041848043678328e-07 1.947045120687107556e-06 1.083386337086267304e-06 5.976041848043678328e-07 1.947045120687107556e-06
4.500000000000000000e+03 7.351016506618179847e-07 5.453089784168696497e-07 1.619798467800137587e-06 7.082374509082001168e-07 5.453089784168696497e-07 1.619798467800137587e-06
5.000000000000000000e+03 4.639643123027781257e-07 4.937392077408730984e-07 1.349842932540923357e-06 4.531053150458319578e-07 4.937392077408730984e-07 1.349842932540923357e-06
5.000000000000000000e+03 4.639643066184362397e-06 4.937392077408730984e-07 1.349842904119213927e-07 4.531053036771481857e-06 4.937392077408730984e-07 1.349842904119213927e-07
5.705000000000000000e+03 4.786650631416478063e-09 5.463496322022365348e-09 3.127546222003729781e-08 4.746938842004055914e-09 5.463496322022365348e-09 3.127546222003729781e-08
