Node	X Location (m)	Y Location (m)	Z Location (m)	
148	9.7204e-002	2.5775e-002	0.	
149	0.10754	2.346e-002	0.	
150	0.11787	2.1145e-002	0.	
151	0.12821	1.883e-002	0.	
152	0.13854	1.6515e-002	0.	
153	0.14485	1.5102e-002	4.5574e-002	
154	0.14327	1.5456e-002	4.5948e-002	
155	0.13314	1.7724e-002	4.8126e-002	
156	0.12639	1.9237e-002	4.9132e-002	
157	0.1235	1.9885e-002	4.9515e-002	
158	0.1163	2.1497e-002	4.9938e-002	
159	0.10626	2.3746e-002	5.0304e-002	
160	0.10178	2.475e-002	5.0344e-002	
161	9.517e-002	2.6231e-002	5.0169e-002	
162	9.3888e-002	2.6518e-002	5.0199e-002	
163	9.3361e-002	2.6636e-002	5.0215e-002	
164	9.2136e-002	2.691e-002	5.0179e-002	
165	8.689e-002	2.8086e-002	5.0337e-002	
166	8.4013e-002	2.873e-002	5.0219e-002	
167	8.0247e-002	2.9574e-002	5.0334e-002	
168	7.6536e-002	3.0405e-002	5.0323e-002	
169	7.6536e-002	3.0405e-002	1.0065e-002	
170	7.6536e-002	3.0405e-002	2.0129e-002	
171	7.6536e-002	3.0405e-002	3.0194e-002	
172	7.6536e-002	3.0405e-002	4.0258e-002	
173	6.2617e-002	3.9213e-002	0.	
174	6.9576e-002	3.4809e-002	0.	
175	7.4912e-002	3.1432e-002	5.0661e-002	
176	7.0212e-002	3.4407e-002	5.0132e-002	
177	6.88e-002	3.5301e-002	5.0137e-002	
178	6.7017e-002	3.6428e-002	5.0137e-002	
179	6.2617e-002	3.9213e-002	5.0128e-002	
180	6.2617e-002	3.9213e-002	1.0026e-002	
181	6.2617e-002	3.9213e-002	2.0051e-002	
182	6.2617e-002	3.9213e-002	3.0077e-002	
183	6.2617e-002	3.9213e-002	4.0102e-002	
184	4.1766e-002	5.2494e-002	0.	
185	4.8716e-002	4.8067e-002	0.	
186	5.5667e-002	4.364e-002	0.	
187	5.7676e-002	4.236e-002	5.0026e-002	
188	5.6988e-002	4.2799e-002	5.0022e-002	
189	5.115e-002	4.6517e-002	5.0027e-002	
190	5.0408e-002	4.6989e-002	5.0023e-002	
191	4.6206e-002	4.9665e-002	5.0224e-002	
192	4.4409e-002	5.081e-002	5.0367e-002	
193	4.1766e-002	5.2494e-002	5.0449e-002	
194	4.1766e-002	5.2494e-002	1.009e-002	
195	4.1766e-002	5.2494e-002	2.0179e-002	
196	4.1766e-002	5.2494e-002	3.0269e-002	
197	4.1766e-002	5.2494e-002	4.0359e-002	
198	1.7849e-002	7.4227e-002	0.	
199	2.5821e-002	6.6983e-002	0.	
200	3.3794e-002	5.9738e-002	0.	
201	3.9188e-002	5.4837e-002	5.0304e-002	
202	3.3514e-002	5.9992e-002	5.0597e-002	
203	3.2905e-002	6.0546e-002	5.062e-002	
204	2.8675e-002	6.4389e-002	5.0793e-002	
205	2.5365e-002	6.7397e-002	5.0918e-002	
206	2.2217e-002	7.0258e-002	5.1024e-002	
207	1.7849e-002	7.4227e-002	5.1063e-002	
208	1.7849e-002	7.4227e-002	1.0213e-002	
209	1.7849e-002	7.4227e-002	2.0425e-002	
210	1.7849e-002	7.4227e-002	3.0638e-002	
211	1.7849e-002	7.4227e-002	4.085e-002	
212	1.5416e-002	9.68e-002	0.	
213	1.6633e-002	8.5513e-002	0.	
214	1.7558e-002	7.6927e-002	5.11e-002	
215	1.7032e-002	8.181e-002	5.1343e-002	
216	1.6795e-002	8.4006e-002	5.1368e-002	
217	1.651e-002	8.6652e-002	5.1474e-002	
218	1.6048e-002	9.0939e-002	5.145e-002	
219	1.5504e-002	9.5986e-002	5.1222e-002	
220	1.4771e-002	0.10279	5.0685e-002	
221	5.7526e-002	4.2943e-002	5.0016e-002	
222	6.625e-002	4.1169e-002	5.0137e-002	
223	6.2451e-002	4.8493e-002	5.0715e-002	
224	5.1392e-002	4.7159e-002	5.0017e-002	
225	4.881e-002	5.2694e-002	5.0344e-002	
226	5.7006e-002	5.2725e-002	5.0894e-002	
227	4.6257e-002	5.6623e-002	5.0709e-002	
228	2.9285e-002	7.0543e-002	5.1027e-002	
229	3.1519e-002	6.4861e-002	5.0803e-002	
230	2.4264e-002	7.6418e-002	5.1245e-002	
231	3.8845e-002	6.5574e-002	5.0838e-002	
